DATE (MM/DD/YYYY),HOUR-CST,Avg Global Horizontal [W/m^2],Avg Direct Normal [W/m^2],Avg Diffuse Horizontal [W/m^2],Avg Air Temperature [deg C],Avg Relative Humidity [%],Avg Avg Wind Speed @ 10m [m/s]
1/1/2017,1,-1.6894,-0.0258,-1.7593,-99999,-99999,-99999
1/1/2017,2,-1.6940,-0.0003,-1.7687,-99999,-99999,-99999
1/1/2017,3,-1.3210,-0.0007,-1.3334,-99999,-99999,-99999
1/1/2017,4,-1.1226,0.0000,-1.1157,-99999,-99999,-99999
1/1/2017,5,-1.1622,0.0000,-1.1457,-99999,-99999,-99999
1/1/2017,6,-1.5008,-0.0005,-1.2102,-99999,-99999,-99999
1/1/2017,7,-1.7372,-0.1369,-1.6405,-99999,-99999,-99999
1/1/2017,8,7.8286,-0.2819,7.9611,-99999,-99999,-99999
1/1/2017,9,69.2583,0.6520,69.0944,-99999,-99999,-99999
1/1/2017,10,176.2300,11.5790,175.7843,-99999,-99999,-99999
1/1/2017,11,306.7794,84.0604,306.2567,-99999,-99999,-99999
1/1/2017,12,387.1405,85.9565,385.9517,-99999,-99999,-99999
1/1/2017,13,468.8595,167.2973,466.7336,-99999,-99999,-99999
1/1/2017,14,415.8743,93.2032,414.2717,-99999,-99999,-99999
1/1/2017,15,393.4960,173.0164,393.3836,-99999,-99999,-99999
1/1/2017,16,299.7223,175.8042,300.6177,-99999,-99999,-99999
1/1/2017,17,222.5865,373.7648,223.4058,-99999,-99999,-99999
1/1/2017,18,43.9035,131.1317,44.5014,-99999,-99999,-99999
1/1/2017,19,-2.2970,-0.0135,-2.3844,-99999,-99999,-99999
1/1/2017,20,-2.3304,-0.1173,-2.2087,-99999,-99999,-99999
1/1/2017,21,-2.2168,-0.0382,-2.0766,-99999,-99999,-99999
1/1/2017,22,-1.7354,-0.0654,-1.7837,-99999,-99999,-99999
1/1/2017,23,-1.7171,-0.0708,-1.7536,-99999,-99999,-99999
1/2/2017,0,-1.0395,-0.0450,-1.0809,-99999,-99999,-99999
1/2/2017,1,-1.0210,0.0052,-1.0700,-99999,-99999,-99999
1/2/2017,2,-1.0305,0.0074,-1.0699,-99999,-99999,-99999
1/2/2017,3,-1.2169,0.0191,-1.1936,-99999,-99999,-99999
1/2/2017,4,-1.2601,0.0133,-1.2234,-99999,-99999,-99999
1/2/2017,5,-2.1365,0.0552,-2.1112,-99999,-99999,-99999
1/2/2017,6,-2.3768,-0.0579,-2.4698,-99999,-99999,-99999
1/2/2017,7,-2.4039,-0.0431,-2.4969,-99999,-99999,-99999
1/2/2017,8,14.8755,1.1326,14.8185,-99999,-99999,-99999
1/2/2017,9,68.8794,0.5109,68.5904,-99999,-99999,-99999
1/2/2017,10,318.1648,371.1555,320.3705,-99999,-99999,-99999
1/2/2017,11,536.6174,849.3909,541.8339,-99999,-99999,-99999
1/2/2017,12,643.0176,927.6355,644.5548,-99999,-99999,-99999
1/2/2017,13,693.7823,958.9216,690.9784,-99999,-99999,-99999
1/2/2017,14,668.6780,960.1079,668.4776,-99999,-99999,-99999
1/2/2017,15,580.9130,939.7187,585.8335,-99999,-99999,-99999
1/2/2017,16,442.0909,880.9405,448.6537,-99999,-99999,-99999
1/2/2017,17,255.6826,751.5736,258.0073,-99999,-99999,-99999
1/2/2017,18,57.9472,343.1108,59.0191,-99999,-99999,-99999
1/2/2017,19,-2.7065,0.1564,-2.7459,-99999,-99999,-99999
1/2/2017,20,-2.7199,0.0459,-2.7529,-99999,-99999,-99999
1/2/2017,21,-2.5303,-0.1736,-2.5396,-99999,-99999,-99999
1/2/2017,22,-2.4941,-0.1702,-2.4969,-99999,-99999,-99999
1/2/2017,23,-2.4235,-0.1724,-2.4788,-99999,-99999,-99999
1/3/2017,0,-2.3551,-0.1744,-2.3287,-99999,-99999,-99999
1/3/2017,1,-2.3460,-0.2393,-2.3033,-99999,-99999,-99999
1/3/2017,2,-2.2239,-0.1903,-2.1466,-99999,-99999,-99999
1/3/2017,3,-2.1100,-0.0892,-2.0285,-99999,-99999,-99999
1/3/2017,4,-2.0772,-0.1189,-1.9852,-99999,-99999,-99999
1/3/2017,5,-2.0684,-0.1093,-1.9966,-99999,-99999,-99999
1/3/2017,6,-2.0985,-0.0646,-1.8755,-99999,-99999,-99999
1/3/2017,7,-1.5328,-0.1873,-1.3942,-99999,-99999,-99999
1/3/2017,8,11.0067,-0.0027,10.8822,-99999,-99999,-99999
1/3/2017,9,91.6887,0.2740,91.2709,-99999,-99999,-99999
1/3/2017,10,168.3242,0.7482,167.7550,-99999,-99999,-99999
1/3/2017,11,222.6419,0.8506,222.0767,-99999,-99999,-99999
1/3/2017,12,423.0130,89.6531,420.1543,-99999,-99999,-99999
1/3/2017,13,680.1658,825.1524,668.0116,-99999,-99999,-99999
1/3/2017,14,660.1781,867.6594,647.9561,-99999,-99999,-99999
1/3/2017,15,570.8312,856.0716,561.9662,-99999,-99999,-99999
1/3/2017,16,428.1342,802.1813,431.2677,-99999,-99999,-99999
1/3/2017,17,243.1928,626.5308,245.8233,-99999,-99999,-99999
1/3/2017,18,59.0907,240.3086,60.0808,-99999,-99999,-99999
1/3/2017,19,-2.2923,0.2566,-2.3365,-99999,-99999,-99999
1/3/2017,20,-2.7109,0.0075,-2.6673,-99999,-99999,-99999
1/3/2017,21,-2.6807,0.0141,-2.5846,-99999,-99999,-99999
1/3/2017,22,-2.4191,-0.0822,-2.4977,-99999,-99999,-99999
1/3/2017,23,-2.3789,-0.1507,-2.4102,-99999,-99999,-99999
1/4/2017,0,-2.4026,-0.0705,-2.4124,-99999,-99999,-99999
1/4/2017,1,-2.3085,-0.0753,-2.2704,-99999,-99999,-99999
1/4/2017,2,-2.2459,-0.0561,-2.2220,-99999,-99999,-99999
1/4/2017,3,-1.9513,-0.0524,-1.9751,-99999,-99999,-99999
1/4/2017,4,-1.3997,-0.1123,-1.4826,-99999,-99999,-99999
1/4/2017,5,-1.4987,0.1456,-1.5913,-99999,-99999,-99999
1/4/2017,6,-2.2083,0.1495,-1.9457,-99999,-99999,-99999
1/4/2017,7,-1.9752,-0.0264,-1.7227,-99999,-99999,-99999
1/4/2017,8,14.7423,0.0215,14.6951,-99999,-99999,-99999
1/4/2017,9,113.0840,31.6782,112.9197,-99999,-99999,-99999
1/4/2017,10,226.0804,8.8686,225.3941,-99999,-99999,-99999
1/4/2017,11,340.1645,11.7818,338.7873,-99999,-99999,-99999
1/4/2017,12,327.0925,3.1312,325.7892,-99999,-99999,-99999
1/4/2017,13,231.7322,0.4157,230.8898,-99999,-99999,-99999
1/4/2017,14,292.8062,0.8636,291.6793,-99999,-99999,-99999
1/4/2017,15,297.4678,18.8036,296.0416,-99999,-99999,-99999
1/4/2017,16,135.3274,0.4113,134.6929,-99999,-99999,-99999
1/4/2017,17,40.5923,0.3359,40.3901,-99999,-99999,-99999
1/4/2017,18,9.1225,0.1096,9.0550,-99999,-99999,-99999
1/4/2017,19,-1.5452,0.0301,-1.5117,-99999,-99999,-99999
1/4/2017,20,-1.1000,-0.0066,-1.1055,-99999,-99999,-99999
1/4/2017,21,-1.0523,0.0000,-1.0712,-99999,-99999,-99999
1/4/2017,22,-1.0433,0.0000,-1.0781,-99999,-99999,-99999
1/4/2017,23,-1.0220,0.0000,-1.0714,-99999,-99999,-99999
1/5/2017,0,-1.0220,0.0000,-1.0714,-99999,-99999,-99999
1/5/2017,1,-1.5119,0.0000,-1.4656,-99999,-99999,-99999
1/5/2017,2,-0.5025,0.0000,-0.4610,-99999,-99999,-99999
1/5/2017,3,-0.7618,0.0000,-0.7975,-99999,-99999,-99999
1/5/2017,4,-1.0218,0.0000,-1.0713,-99999,-99999,-99999
1/5/2017,5,-1.0221,0.0000,-1.0714,-99999,-99999,-99999
1/5/2017,6,-1.0488,0.0000,-1.0675,-99999,-99999,-99999
1/5/2017,7,-1.0662,0.0000,-1.0657,-99999,-99999,-99999
1/5/2017,8,7.7529,0.0834,7.6885,-99999,-99999,-99999
1/5/2017,9,63.6657,0.3919,63.4147,-99999,-99999,-99999
1/5/2017,10,135.5460,0.4126,135.0260,-99999,-99999,-99999
1/5/2017,11,248.0120,1.3169,246.9565,-99999,-99999,-99999
1/5/2017,12,327.0126,2.2403,325.4906,-99999,-99999,-99999
1/5/2017,13,544.3609,321.8253,541.7512,-99999,-99999,-99999
1/5/2017,14,630.0357,730.3365,627.3715,-99999,-99999,-99999
1/5/2017,15,544.6543,709.1200,543.3053,-99999,-99999,-99999
1/5/2017,16,404.2743,620.5860,407.2875,-99999,-99999,-99999
1/5/2017,17,230.2545,294.1559,231.4476,-99999,-99999,-99999
1/5/2017,18,48.5383,96.9839,48.9442,-99999,-99999,-99999
1/5/2017,19,-1.6994,-0.0225,-1.6652,-99999,-99999,-99999
1/5/2017,20,-1.6118,0.1706,-1.4622,-99999,-99999,-99999
1/5/2017,21,-1.1380,0.0395,-1.0699,-99999,-99999,-99999
1/5/2017,22,-1.3490,0.0197,-1.2253,-99999,-99999,-99999
1/5/2017,23,-1.1894,-0.0016,-1.2011,-99999,-99999,-99999
1/6/2017,0,-1.1261,-0.0004,-1.1675,-99999,-99999,-99999
1/6/2017,1,-2.0326,-0.0073,-2.0568,-99999,-99999,-99999
1/6/2017,2,-1.4143,0.0861,-1.4848,-99999,-99999,-99999
1/6/2017,3,-1.5690,0.0333,-1.4882,-99999,-99999,-99999
1/6/2017,4,-1.6687,0.1978,-1.6647,-99999,-99999,-99999
1/6/2017,5,-1.1433,0.0010,-1.1341,-99999,-99999,-99999
1/6/2017,6,-1.1754,0.0000,-1.0676,-99999,-99999,-99999
1/6/2017,7,-1.6548,0.0002,-1.6273,-99999,-99999,-99999
1/6/2017,8,0.3971,0.0011,0.4119,-99999,-99999,-99999
1/6/2017,9,12.8029,0.0229,12.7461,-99999,-99999,-99999
1/6/2017,10,29.1131,0.0111,29.0222,-99999,-99999,-99999
1/6/2017,11,50.6427,0.0385,50.4786,-99999,-99999,-99999
