DATE (MM/DD/YYYY),HOUR-CST,Avg Global Horizontal [W/m^2],Avg Direct Normal [W/m^2],Avg Diffuse Horizontal [W/m^2],Avg Air Temperature [deg C],Avg Relative Humidity [%],Avg Avg Wind Speed @ 10m [m/s]
1/1/2019,1,-2.7063,-0.3922,-2.0733,-99999,-99999,-99999
1/1/2019,2,-2.6464,-0.3922,-1.9864,-99999,-99999,-99999
1/1/2019,3,-2.1193,-0.2422,-1.4695,-99999,-99999,-99999
1/1/2019,4,-2.2046,-0.1898,-1.4775,-99999,-99999,-99999
1/1/2019,5,-1.7298,-0.0786,-1.0863,-99999,-99999,-99999
1/1/2019,6,-1.9024,0.0000,-1.0629,-99999,-99999,-99999
1/1/2019,7,-2.1575,0.0000,-1.0447,-99999,-99999,-99999
1/1/2019,8,5.6702,4.8222,5.8726,-99999,-99999,-99999
1/1/2019,9,105.9887,2.3744,106.2293,-99999,-99999,-99999
1/1/2019,10,183.1325,3.3460,182.6694,-99999,-99999,-99999
1/1/2019,11,230.4530,17.1375,222.5692,-99999,-99999,-99999
1/1/2019,12,226.0346,0.7935,226.0479,-99999,-99999,-99999
1/1/2019,13,216.2154,0.5234,216.0854,-99999,-99999,-99999
1/1/2019,14,199.1205,0.5926,199.4595,-99999,-99999,-99999
1/1/2019,15,91.5254,0.3917,91.8393,-99999,-99999,-99999
1/1/2019,16,52.1538,0.3917,52.5021,-99999,-99999,-99999
1/1/2019,17,34.2645,0.3913,34.6213,-99999,-99999,-99999
1/1/2019,18,3.4809,0.1071,3.9269,-99999,-99999,-99999
1/1/2019,19,-1.9260,-0.0654,-1.2299,-99999,-99999,-99999
1/1/2019,20,-1.9584,-0.0214,-1.2412,-99999,-99999,-99999
1/1/2019,21,-1.9054,-0.0277,-1.3017,-99999,-99999,-99999
1/1/2019,22,-2.2008,-0.0527,-1.5878,-99999,-99999,-99999
1/1/2019,23,-2.2070,-0.5702,-1.5790,-99999,-99999,-99999
1/2/2019,0,-2.2680,-0.4487,-1.8537,-99999,-99999,-99999
1/2/2019,1,-1.8207,-0.5945,-1.6902,-99999,-99999,-99999
1/2/2019,2,-1.5321,-0.3922,-1.2561,-99999,-99999,-99999
1/2/2019,3,-1.0784,-0.3923,-0.5962,-99999,-99999,-99999
1/2/2019,4,-1.4417,-0.2363,-0.8976,-99999,-99999,-99999
1/2/2019,5,-1.9923,-0.0123,-1.5580,-99999,-99999,-99999
1/2/2019,6,-2.3874,0.0000,-1.5162,-99999,-99999,-99999
1/2/2019,7,-1.7578,-0.0255,-1.0228,-99999,-99999,-99999
1/2/2019,8,0.2861,-0.0507,0.7390,-99999,-99999,-99999
1/2/2019,9,9.4633,-0.0414,9.9063,-99999,-99999,-99999
1/2/2019,10,27.3052,0.0857,27.5752,-99999,-99999,-99999
1/2/2019,11,61.2033,0.2243,61.4813,-99999,-99999,-99999
1/2/2019,12,76.9530,0.3433,77.1446,-99999,-99999,-99999
1/2/2019,13,82.4986,0.3471,82.8613,-99999,-99999,-99999
1/2/2019,14,78.5500,0.3803,78.9547,-99999,-99999,-99999
1/2/2019,15,68.0796,0.2157,68.4571,-99999,-99999,-99999
1/2/2019,16,56.0833,0.0007,56.4377,-99999,-99999,-99999
1/2/2019,17,33.5202,0.0032,33.9632,-99999,-99999,-99999
1/2/2019,18,7.5386,0.0004,7.9912,-99999,-99999,-99999
1/2/2019,19,-1.6877,0.0000,-1.0647,-99999,-99999,-99999
1/2/2019,20,-1.8797,0.0000,-1.1770,-99999,-99999,-99999
1/2/2019,21,-1.9098,-0.0019,-1.2237,-99999,-99999,-99999
1/2/2019,22,-1.9185,0.0000,-1.1425,-99999,-99999,-99999
1/2/2019,23,-2.2578,-0.0192,-1.6483,-99999,-99999,-99999
1/3/2019,0,-2.3865,0.0000,-1.6853,-99999,-99999,-99999
1/3/2019,1,-1.9886,-0.0447,-1.1598,-99999,-99999,-99999
1/3/2019,2,-1.9215,-0.0028,-1.2939,-99999,-99999,-99999
1/3/2019,3,-2.0650,-0.0259,-1.4775,-99999,-99999,-99999
1/3/2019,4,-2.2110,0.0665,-1.7874,-99999,-99999,-99999
1/3/2019,5,-2.0306,0.0020,-1.7677,-99999,-99999,-99999
1/3/2019,6,-2.1601,0.0065,-1.5511,-99999,-99999,-99999
1/3/2019,7,-1.4848,0.0000,-0.9985,-99999,-99999,-99999
1/3/2019,8,0.6121,0.0000,0.9992,-99999,-99999,-99999
1/3/2019,9,22.6614,0.0172,22.9134,-99999,-99999,-99999
1/3/2019,10,72.2867,0.3426,72.4820,-99999,-99999,-99999
1/3/2019,11,140.7459,0.3924,140.8663,-99999,-99999,-99999
1/3/2019,12,279.9318,0.4974,279.9513,-99999,-99999,-99999
1/3/2019,13,443.8777,26.5963,425.3876,-99999,-99999,-99999
1/3/2019,14,421.7680,19.8738,408.0514,-99999,-99999,-99999
1/3/2019,15,514.7722,640.9161,156.8534,-99999,-99999,-99999
1/3/2019,16,458.4121,854.6382,76.1326,-99999,-99999,-99999
1/3/2019,17,255.4271,725.6078,47.0901,-99999,-99999,-99999
1/3/2019,18,58.2134,327.2122,17.8437,-99999,-99999,-99999
1/3/2019,19,-3.1595,-0.4047,-2.6472,-99999,-99999,-99999
1/3/2019,20,-2.9552,-0.5126,-2.5955,-99999,-99999,-99999
1/3/2019,21,-2.9636,-0.4451,-2.6353,-99999,-99999,-99999
1/3/2019,22,-2.8120,-0.4959,-2.5285,-99999,-99999,-99999
1/3/2019,23,-2.7375,-0.3991,-2.5005,-99999,-99999,-99999
1/4/2019,0,-2.7197,-0.4018,-2.4432,-99999,-99999,-99999
1/4/2019,1,-2.6623,-0.3924,-2.1810,-99999,-99999,-99999
1/4/2019,2,-2.6756,-0.3924,-2.2529,-99999,-99999,-99999
1/4/2019,3,-2.7134,-0.3924,-2.3658,-99999,-99999,-99999
